SOV;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
4068;Chief of Air Force;Alexander Novikov;1942;1964;1999;ST;Air Superiority Doctrine;Very High;M4068;x
4069;Chief of Air Force;Y.V. Vladimiroch;1943;1964;1999;ST;Carpet Bombing Doctrine;Medium;M4069;x
4070;Head of State;Nikolay Shvernik;1940;1964;1999;ST;Insignificant Layman;High;M4070;x
4027;Chief of Staff;Konstantin K. Rokossovsky;1940;1964;1999;LWR;School of Manoeuvre;High;M4027;x
4071;Head of State;Sergey Kirov;1936;1964;1999;ST;Benevolent Gentleman;High;kirovkaiserreich;x
4072;Head of Government;Nicolai Bukharin;1936;1964;1999;ST;totalist chairman;High;BukharinSOV;x
4073;Head of Government;Nikolay Shvernik;1936;1964;1999;ST;Naive Optimist;Medium;M4070;x
4074;Head of Government;Mikhail Tomsky;1936;1964;1999;LE;Silent Workhorse;Medium;kaiserreich Tomsky;x
40751;Head of State;Michail N. Tuchatjevskij;1936;1964;1999;ST;Weary Stiffneck;High;M4007;x
40761;Head of State;Michail V. Frunze;1936;1964;1999;LWR;Resigned Generalissimo;High;kaiserreich_Frunze;x
40762;Chief of Army;Michail V. Frunze;1936;1964;1999;LWR;Armoured Spearhead Doctrine;High;kaiserreich_Frunze;x
40771;Minister of Armament;Valerian V. Kuybyshev;1936;1964;1999;LWR;Administrative Genius;High;kaiserreich_Kuybyshev;x
40781;Minister of Security;Anastas I. Mikoyan;1936;1964;1999;LE;Man of the People;Medium;kaiserreich_Mikoyan;X
40791;Minister of Security;Pavel A. Sudoplatov;1936;1964;1999;LWR;Crime Fighter;High;kaiserreich_Sudoplatov;x
40801;Head of Military Intelligence;Vsevolod N. Merkulov;1936;1964;1999;LWR;Logistics Specialist;High;kaiserreich_Merkulov;x
40811;Head of Military Intelligence;Vladimir G. Dekanozov;1936;1964;1999;LE;Political Specialist;Very High;kaiserreich_Dekanozov;x
40812;Head of Government;Lavrentij Beria;1946;1964;1999;ST;totalist chairman;High;M519002;x
40813;Foreign Minister;Lavrentij Beria;1946;1964;1999;ST;General Staffer;High;M519002;x
40814;Head of State;Nikita Kruschev;1947;1964;1999;ST;Stern Imperialist;High;M518001;x
40815;Head of Government;Andrei Zhdanov;1944;1964;1999;LWR;Silent Workhorse;Very High;Kaiserreich_Zhdanov;x
40816;Head of Government;Kirill Meretskov;1944;1964;1999;ST;Political Protege;High;Kaiserreich_Meretskov;x
40817;Head of State;Alexander Kuznetsov;1947;1964;1999;ST;Popular Figurehead;High;KR_AKuz;x
40818;Head of State;Georgiy Zhukov;1947;1964;1999;LE;Ruthless Powermonger;High;KR_Zhuk;x
40819;Head of State;Pavel Sudoplatov;1947;1964;1999;LWR;syndicalist demagogue;High;kaiserreich_Sudoplatov;x
40820;Head of Government;Ivan Konev;1947;1964;1999;LE;Old General;Very High;KR_Konev;x
40821;Minister of Security;Petr Popkov;1947;1964;1999;ST;Compassionate Gentleman;High;KR_Popkov;x
40822;Minister of Armament;Alexander Sherbakov;1947;1964;1999;ST;Resource Industrialist;High;KR_Sherbakov;x
40823;Head of State;Alexei Kosygin;1947;1964;1999;LE;Die-hard Reformer;High;KR_Kosygin;x
40824;Head of State;Konstantin Rokossovsky;1947;1964;1999;ST;Resigned Generalissimo;High;KR_Rokossovsky;x
40825;Head of State;Vladimir Dekanozov;1947;1964;1999;LWR;Die-hard Reformer;High;kaiserreich_Dekanozod;x
40826;Head of Government;Nikolai Yezhov;1946;1964;1999;ST;totalist chairman;High;M4031;x
40827;Head of State;Leonid Brezhnev;1944;1964;1999;ST;Stern Imperialist;High;kai_brezhnev;x
40828;Chief of Army;Aleksandr I. Yegorov;1936;1964;1999;LE;Elastic Defence Doctrine;Very High;M4131;x
40829;Chief of Staff;Aleksandr I. Yegorov;1936;1964;1999;LE;School of Manoeuvre;Very high;M4131;x
40830;Head of Military Intelligence;Yan K. Berzin;1936;1964;1999;ST;Technical Specialist;High;M4006;x
40831;Minister of Security;Yan K. Berzin;1936;1964;1999;ST;Back Stabber;High;M4006;x
40832;Chief of Staff;Fedor I. Trukhin;1940;1964;1999;LWR;School of Mass Combat;High;Fedor_Trukhin;x
40833;Head of Military Intelligence;Fedor I. Trukhin;1940;1964;1999;LWR;Logistics Specialist;Very High;Fedor_Trukhin;x
40834;Head of Military Intelligence;Nikolai M. Kharlamov;1936;1964;1999;LE;Technical Specialist;High;L10472;x
40835;Chief of Navy;Konstantin Dushenov;1936;1964;1999;LWR;Indirect Approach Doctrine;High;L10520;x
40836;Chief of Staff;Vladimir A. Ovseyenko;1936;1964;1999;LE;School of Manoeuvre;Very High;kai_sovvldmrantnovs;x
40837;Foreign Minister;Lev Kamenev;1936;1964;1999;LE;Biased Intellectual;Very High;kai_sovlvkmnv;x
40838;Head of Government;Lev Kamenev;1936;1964;1999;LE;Ambitious Union Boss;Very High;kai_sovlvkmnv;x
40839;Minister of Armament;Grigori Sokolnikov;1936;1964;1999;LE;Administrative Genius;Very High;kai_sovgrigskl;x
40840;Head of Government;Grigory Zinoviev;1936;1964;1999;LE;Naive Optimist;High;kai_sovgrigznv;x
40841;Chief of Staff;Vladimir Triandafillov;1936;1964;1999;LWR;School of manoeuvre;Very High;kai_sovvladtrij;x
