SAF;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
70059;Minister of Security;T.E. Dönges;1936;1964;1999;PA;Man of the People;High;M70059;X
70060;Minister of Security;D. F. Malan;1936;1964;1999;FA;Crime Fighter;Low;M70029;X
70061;Minister of Security;E.G. Jansen;1936;1964;1999;PA;Silent Lawyer;High;M70036;X
70062;Minister of Security;J. G. Strijdom;1936;1964;1999;FA;Back Stabber;Very High;M70041;X
70063;Minister of Security;F.C. Erasmus;1936;1964;1999;FA;Efficient Sociopath;Very High;M70063;X
70064;Minister of Security;C.L. de Wet du Toit;1936;1964;1999;PA;Crime Fighter;Medium;M70015;X
70065;Head of Military Intelligence;B.J. Schoeman;1936;1964;1999;PA;Logistics Specialist;Medium;M70065;X
70066;Head of Military Intelligence;Jeannot de la Tourier;1936;1964;1999;SC;Naval Intelligence Specialist;Very High;M70066;X
70067;Head of Military Intelligence;Seymour Jacklin;1936;1964;1999;SC;Political Specialist;Medium;M70016;X
70068;Head of Military Intelligence;Eric Louw;1936;1964;1999;SC;Technical Specialist;Very High;M70032;X
70069;Head of Military Intelligence;C. R. Swart;1936;1964;1999;PA;Dismal Enigma;Very High;M70057;X
70070;Head of Military Intelligence;Nicolaas Havenga;1936;1964;1999;PA;Industrial Specialist;Very High;M70004;X
70071;Chief of Staff;James Mitchell-Baker;1936;1956;1999;SC;School of Manoeuvre;Medium;M70071;X
70072;Chief of Staff;Leonard Beyers;1936;1964;1999;SC;School of Defence;Medium;LLeonard_Beyers;X
70073;Chief of Staff;C.L. de Wet du Toit;1936;1964;1999;PA;School of Fire Support;Medium;M70015;X
70074;Chief of Staff;Jan C. Smuts;1936;1964;1999;SC;School of Mass Combat;High;M70005;X
70075;Chief of Staff;Robert Palmer;1936;1964;1999;SC;School of Psychology;High;M70075;X
70076;Chief of Army;J.F. Naude;1936;1964;1999;PA;Guns and Butter Doctrine;Very High;M70076;X
70077;Chief of Army;James Mitchell-Baker;1936;1956;1999;SC;Decisive Battle Doctrine;Medium;M70071;X
70078;Chief of Army;C.L. de Wet du Toit;1936;1964;1999;PA;Guns and Butter Doctrine;Medium;M70015;X
70079;Chief of Army;Leonard Beyers;1936;1964;1999;ML;Static Defence Doctrine;Medium;LLeonard_Beyers;X
70080;Chief of Army;Pierre van Ryneveld;1936;1950;1999;SC;Elastic Defence Doctrine;Very High;M70007;X
70081;Chief of Army;Francois Theron;1936;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M70081;X
70082;Chief of Navy;Jeannot de la Tourier;1936;1964;1999;SC;Decisive Naval Battle Doctrine;Very High;M70066;X
70083;Chief of Navy;Cornelis van Zuigenbrogge;1936;1964;1999;SC;Indirect Approach Doctrine;Very High;M70050;X
70084;Chief of Air Force;Christoffel Venter;1936;1964;1999;ML;Army Aviation Doctrine;Very High;M70084;X
70085;Chief of Air Force;Adolph Malan;1936;1964;1999;ML;Air Superiority Doctrine;Low;M70047;X
70086;Chief of Air Force;Marinus van Osterkemp;1936;1964;1999;SC;Naval Aviation Doctrine;Low;M70053;X
70087;Chief of Air Force;S.P. Le Roux;1936;1964;1999;FA;Vertical Envelopment Doctrine;Low;M70043;X
70011;Head of State;J. F. van Rensburg;1936;1964;1999;FA;Barking Buffoon;High;M70011;X
70012;Head of Government;J. F. van Rensburg;1936;1964;1999;FA;Old General;High;M70011;X
70090;Minister of Armament;Jan C. Smuts;1936;1964;1999;SC;Military Entrepreneur;Very High;M70005;X
70091;Minister of Armament;F.C. Erasmus;1936;1964;1999;FA;Submarine Proponent;Very High;M70063;X
70092;Minister of Security;H.G. Lawrence;1936;1964;1999;SC;Prince of Terror;High;M70092;X
70095;Minister of Security;Nicolaas J. de Wet;1936;1964;1999;ML;Man of the People;High;M70025;X
70096;Head of Government;Jan Hendrik Hofmeyr;1936;1964;1999;ML;Silent Workhorse;High;kaiserreich_SAF_Hofmeyr;X
70097;Minister of Security;Oswald Pirow;1936;1964;1999;FA;Crime Fighter;High;kaiserreich_SAF_Pirow;X
70098;Head of State;Hendrijk F. Verwoerd;1936;1964;1999;FA;Pig-headed Isolationist;High;M70055;X
70099;Head of State;Jan C. Smuts;1936;1964;1999;SC;Resigned Generalissimo;High;M70005;X
70100;Head of State;James Hertzog;1936;1964;1999;PA;Stern Imperialist;High;M70002;X
70101;Head of State;D. F. Malan;1936;1964;1999;FA;Stern Imperialist;High;M70029;X
70102;Head of Government;T.E. Dönges;1936;1964;1999;PA;Silent Workhorse;High;M70059;X
70103;Foreign Minister;J. G. Strijdom;1936;1964;1999;FA;Iron Fisted Brute;Very High;M70041;X
70104;Minister of Armament;Nicolaas Havenga;1936;1964;1999;PA;Resource Industrialist;Very High;M70004;X
70105;Head of Military Intelligence;Hendrijk F. Verwoerd;1936;1964;1999;FA;Technical Specialist;High;M70055;X
70106;Head of Military Intelligence;Frans Erasmus;1936;1964;1999;SC;Logistics Specialist;Medium;M70063;X
70107;Chief of Staff;C.L. de Wet du Toit;1936;1964;1999;PA;School of Fire Support;Very High;M70015;X
70108;Chief of Army;C.L. de Wet du Toit;1936;1964;1999;PA;Guns and Butter Doctrine;Very High;M70015;X
70109;Chief of Navy;Pieter de Waal;1936;1964;1999;SC;Base Control Doctrine;Very High;kaiserreich_SAF_DeWaal_fake;X
70110;Chief of Air Force;Stephen Alexander Melville;1936;1964;1999;ML;Army Aviation Doctrine;Very High;kaiserreich_SAF_Melville;X
70111;Head of State;William H. Andrews;1936;1964;1999;LWR;Insignificant Layman;High;kaiserreich_SAF_Andrews;X
70112;Head of Government;Yusuf Dadoo;1936;1964;1999;LWR;Ambitious Union Boss;High;kaiserreich_SAF_Dadoo;X
70113;Foreign Minister;Bram Fisher;1936;1964;1999;LWR;Biased Intellectual;Very High;kaiserreich_SAF_Fischer;X
70114;Minister of Armament;Yusuf Dadoo;1936;1964;1999;LWR;Military Entrepreneur;Very High;kaiserreich_SAF_Dadoo;X
70115;Minister of Security;Bram Fisher;1936;1964;1999;LWR;Silent Lawyer;High;kaiserreich_SAF_Fischer;X
70116;Head of Military Intelligence;William H. Andrews;1936;1964;1999;LWR;Industrial Specialist;High;kaiserreich_SAF_Andrews;X
70117;Head of State;Yusuf Dadoo;1936;1964;1999;LWR;Autocratic Charmer;High;kaiserreich_SAF_Dadoo;X
70123;Foreign Minister;Alfred Xuma;1964;1964;1999;SL;The Cloak N Dagger Schemer;Very High;kaiserreich_SAF_Xuma;X
70124;Minister of Armament;Albert John Lutuli;1964;1964;1999;SL;Infantry Proponent;High;kaiserreich_SAF_Lutuli;X
70125;Minister of Security;Oliver Tambo;1964;1964;1999;SL;Man of the People;Very High;kaiserreich_SAF_Tambo;X
70126;Head of Military Intelligence;Josiah Zion Gumede;1964;1964;1999;SL;Industrial Specialist;High;kaiserreich_SAF_Gumede;X
70127;Chief of Staff;Oliver Tambo;1964;1964;1999;SL;School of Psychology;Very High;kaiserreich_SAF_Tambo;X
70128;Head of State;C. F. Stallard;1936;1964;1999;ML;Insignificant Layman;High;M70058;X
70129;Head of Government;C. F. Stallard;1936;1964;1999;ML;Silent Workhorse;High;M70058;X
70130;Head of State;Jan Hendrik Hofmeyr;1936;1964;1999;ML;Benevolent Gentleman;High;kaiserreich_SAF_Hofmeyr;X
70131;Head of State;Edward VIII;1936;1964;1999;PA;Revanchist Monarch;High;M1011;X
70132;Head of State;Edward VIII;1936;1964;1999;SC;Revanchist Monarch;High;M1011;X
70133;Head of State;Edward VIII;1936;1964;1999;SL;Revanchist Monarch;High;M1011;X
70134;Head of State;Edward VIII;1936;1964;1999;ML;Revanchist Monarch;High;M1011;X
70135;Head of State;Edward VIII;1936;1964;1999;SD;Revanchist Monarch;High;M1011;X
70136;Head of State;Herbert J. Stanley;1936;1964;1999;ML;Insignificant Layman;High;M553001;X
70137;Head of Government;Godfrey Martin Huggins;1936;1964;1999;ML;Corporate Suit;High;M553002;X
70138;Minister of Armament;Robert J. Hudson;1936;1964;1999;ML;Administrative Genius;Medium;M553004;X
70139;Minister of Security;Anthony Sillery;1936;1964;1999;ML;Crime Fighter;Medium;M553005;X
70140;Head of State;F. H. P. Creswell;1936;1964;1999;SD;Insignificant Layman;High;KR FHP Creswell;X
70141;Head of Government;F. H. P. Creswell;1936;1964;1999;SD;Happy Amateur;High;KR FHP Creswell;X
70142;Chief of Staff;F. H. P. Creswell;1936;1964;1999;SD;School of Psychology;Very High;KR FHP Creswell;X
70143;Head of State;Walter Madeley;1936;1964;1999;SD;Autocratic Charmer;High;KR Walter Madeley;X
70144;Head of Government;Walter Madeley;1936;1964;1999;SD;Ambitious Union Boss;High;KR Walter Madeley;X
70145;Minister of Armament;Walter Madeley;1936;1964;1999;SD;Resource Industrialist;High;KR Walter Madeley;X
70146;Minister of Security;Thomas Boydell;1936;1964;1999;SD;Man of the People;High;KR Thomas Boydell;X
70147;Head of Military Intelligence;Jimmy Green;1936;1964;1999;SD;Industrial Specialist;High;KR Jimmy Green;X
70148;Minister of Security;Jimmy Green;1936;1964;1999;SD;Crime Fighter;High;KR Jimmy Green;X
70149;Chief of Army;Jimmy Green;1936;1964;1999;SD;Guns and Butter Doctrine;Very High;KR Jimmy Green;X
70150;Foreign Minister;Alex Hepple;1936;1964;1999;SD;Ideological Crusader;Very High;KR Alex Hepple;X
70151;Head of Government;Alex Hepple;1936;1964;1999;SD;Silent Workhorse;High;KR Alex Hepple;X
70152;Head of State;Alex Hepple;1936;1964;1999;SD;Benevolent Gentleman;High;KR Alex Hepple;X
70153;Chief of Air Force;Harold George Wilmott;1944;1964;1999;ML;Naval Aviation Doctrine;High;LHarold_George_Wilmott;X
70154;Chief of Air Force;James Thom Durrant;1946;1964;1999;SL;Carpet Bombing Doctrine;High;LJames_Thom_Durrant;X
70155;Chief of Navy;Frederick John Dean;1942;1964;1999;ML;Open Seas Doctrine;Very High;LFrederick_Dean;X
70156;Chief of Navy;Hugo Hendrik Biermann;1950;1964;1999;ML;Indirect Approach Doctrine;Very High;LHugo_Biermann;X
70157;Chief of Staff;Pieter Hendrik Grobbelaar;1950;1964;1999;SC;School of Manoeuvre;High;LPieter_Hendrik_Grobbelaar;X
70158;Chief of Army;Pieter Hendrik Grobbelaar;1950;1964;1999;SC;Armoured Spearhead Doctrine;High;LPieter_Hendrik_Grobbelaar;X
70159;Chief of Army;Hendrik Balzazar Klopper;1945;1964;1999;PA;Elastic Defence Doctrine;High;LHendrik_Klopper;X
70160;Chief of Staff;Hendrik Balzazar Klopper;1945;1964;1999;PA;School of Mass Combat;High;LHendrik_Klopper;X
