HUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
21083;Minister of Armament;Bela Imrédy de Omoravia;1936;1964;1999;FA;Infantry Proponent;Medium;M21024;x
21084;Minister of Armament;Lajos Reményi-Schneller;1936;1964;1999;FA;Administrative Genius;Medium;M21084;x
21085;Minister of Armament;Laszlo Endre;1936;1964;1999;FA;Strategic Air Proponent;Medium;M21085;x
21086;Minister of Armament;Imre Oltványi;1936;1964;1999;PA;Administrative Genius;Medium;M21086;x
21087;Minister of Armament;Edgar Keksz;1936;1964;1999;PA;Corrupt Kleptocrat;Medium;M21073;x
21088;Minister of Armament;Etienne de Winchkler;1936;1964;1999;PA;Resource Industrialist;Medium;M21088;x
21089;Minister of Armament;Reszö Kastner;1936;1964;1999;SD;Administrative Genius;Medium;M21089;x
21090;Minister of Armament;Albert Apponyi;1936;1964;1999;SC;Strategic Air Proponent;Medium;M21090;x
21091;Minister of Armament;Miklos Olgyay;1936;1964;1999;SC;Resource Industrialist;Medium;M21014;x
21092;Minister of Armament;Béla Zsedényi;1936;1964;1999;ST;Infantry Proponent;High;M21031;x
21093;Minister of Armament;Ernö Gerö;1936;1964;1999;ST;Resource Industrialist;Medium;M21093;x
21094;Minister of Armament;Zoltán Vas;1936;1964;1999;ST;Military Entrepreneur;Medium;M21034;x
21095;Minister of Security;Andor Jaross;1936;1964;1999;NS;Prince of Terror;Medium;M21025;x
21096;Minister of Security;Gábor Vajna;1936;1964;1999;NS;Man of the People;Medium;M21096;x
21098;Minister of Security;K. Darányi de Pusztaszentgyörgyi;1936;1964;1999;FA;Back Stabber;Medium;M21053;x
21099;Minister of Security;Pál Teleki de Szek;1936;1964;1999;FA;Compassionate Gentleman;Low;M21055;x
21100;Minister of Security;Ferenc Keresztes-Fischer;1936;1964;1999;FA;Silent Lawyer;High;M21100;x
21102;Minister of Security;M. Kállay de Nagy-Kalló;1936;1964;1999;FA;Man of the People;Medium;M21057;x
21103;Minister of Security;Kalmán Szell;1936;1964;1999;FA;Crime Fighter;Medium;M21103;x
21104;Minister of Security;Edgar Keksz;1936;1964;1999;PA;Crooked Kleptocrat;Medium;M21073;x
21105;Minister of Security;Laszlo Baky;1936;1964;1999;PA;Crime Fighter;Medium;M21105;x
21107;Minister of Security;Jozsef Revay;1936;1964;1999;SD;Crime Fighter;Medium;M21107;x
21108;Minister of Security;József Széll;1936;1964;1999;SC;Efficient Sociopath;Medium;M21108;x
21109;Minister of Security;Miklós Bonczos;1936;1964;1999;SC;Silent Lawyer;Medium;M21109;x
21110;Minister of Security;Mihaly Farkas;1936;1964;1999;ST;Prince of Terror;Medium;M21110;x
21111;Minister of Security;László Rajk;1936;1964;1999;ST;Crime Fighter;Medium;M21035;x
21112;Minister of Security;Mátyás Rákosi;1936;1964;1999;ST;Crooked Kleptocrat;Very High;M21032;x
21113;Minister of Security;Imre Nagy;1936;1964;1999;ST;Back Stabber;Medium;M21113;x
21114;Minister of Security;Ferenc Erdei;1936;1964;1999;ST;Compassionate Gentleman;Medium;M21114;x
21115;Head of Military Intelligence;Ferenc Rajniss;1936;1964;1999;NS;Dismal Enigma;Medium;M21115;x
21116;Head of Military Intelligence;Andor Jaross;1936;1964;1999;NS;Political Specialist;Medium;M21025;x
21117;Head of Military Intelligence;Rezsö Andorka;1936;1964;1999;FA;Technical Specialist;Medium;M21117;x
21118;Head of Military Intelligence;Mihaly Ujvári;1936;1964;1999;FA;Logistics Specialist;High;M21118;x
21119;Head of Military Intelligence;András Zákó;1936;1964;1999;FA;Political Specialist;Medium;M21119;x
21120;Head of Military Intelligence;Kádár Gyula;1936;1964;1999;FA;Dismal Enigma;Medium;M21120;x
21121;Head of Military Intelligence;Edgar Keksz;1936;1964;1999;PA;Naval Intelligence Specialist;Medium;M21073;x
21122;Head of Military Intelligence;Ferenc Keresztes-Fischer;1936;1964;1999;PA;Industrial Specialist;Medium;M21100;x
21123;Head of Military Intelligence;Károly Peyer;1936;1964;1999;SD;Industrial Specialist;Low;M21045;x
21124;Head of Military Intelligence;Zoltán Tildy;1936;1964;1999;SC;Dismal Enigma;Medium;M21011;x
21125;Head of Military Intelligence;József Széll;1936;1964;1999;SC;Political Specialist;Medium;M21108;x
21126;Head of Military Intelligence;Ernö Gerö;1936;1964;1999;ST;Logistics Specialist;Medium;M21093;x
21127;Head of Military Intelligence;László Rajk;1936;1964;1999;ST;Political Specialist;Medium;M21035;x
21128;Chief of Staff;Lajos Csatay von Csatai;1936;1964;1999;NS;School of Manoeuvre;Medium;M21128;x
21129;Chief of Staff;Károlyi Beregffy;1936;1964;1999;NS;School of Manoeuvre;Medium;M21129;x
21131;Chief of Staff;Karoly Barthá von Dálnokfalva;1936;1964;1999;FA;School of Psychology;Medium;M21060;x
21132;Chief of Staff;Vilmos Nagy;1936;1964;1999;FA;School of Defence;Medium;M21132;x
21133;Chief of Staff;Sandór Szurmay;1936;1964;1999;FA;School of Fire Support;Medium;M21133;x
21135;Chief of Staff;Vilmos Röder;1936;1964;1999;PA;School of Fire Support;Medium;M21135;x
21137;Chief of Staff;János Vörös;1936;1964;1999;SC;School of Manoeuvre;Medium;M21017;x
21138;Chief of Staff;Matta Zalka;1936;1964;1999;ST;School of Psychology;Medium;M21037;x
21139;Chief of Army;Lajos Csatay von Csatai;1936;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M21128;x
21140;Chief of Army;Károlyi Beregffy;1936;1964;1999;NS;Guns and Butter Doctrine;Medium;M21129;x
21142;Chief of Army;Henrik Werth;1936;1964;1999;FA;Static Defence Doctrine;Medium;M21142;x
21143;Chief of Army;Edgar Keksz;1936;1964;1999;FA;Guns and Butter Doctrine;Medium;M21073;x
21144;Chief of Army;Géza Lakatos;1936;1964;1999;FA;Elastic Defence Doctrine;Low;M21058;x
21145;Chief of Army;Béla Miklós de Dalnók;1936;1964;1999;PA;Static Defence Doctrine;NA;M21059;x
21146;Chief of Army;Hugó Sónyi;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M21146;x
21147;Chief of Army;Gabor Sziszkalatay;1936;1964;1999;SD;Guns and Butter Doctrine;Medium;M21136;x
21148;Chief of Army;Ferenc Szombathelyi;1936;1964;1999;SC;Static Defence Doctrine;High;M21148;x
21149;Chief of Army;János Vörös;1936;1964;1999;SC;Elastic Defence Doctrine;Medium;M21017;x
21150;Chief of Army;Nikolaj Berzin;1936;1964;1999;ST;Decisive Battle Doctrine;Medium;M21038;x
21151;Chief of Navy;Sandor Csia;1936;1964;1999;NS;Base Control Doctrine;Medium;M21151;x
21153;Chief of Navy;Edgar Keksz;1936;1964;1999;PA;Base Control Doctrine;Medium;M21073;x
21154;Chief of Navy;Otto I Habsburg;1936;1964;1999;PA;Indirect Approach Doctrine;High;M21044;x
21155;Chief of Navy;Reszö Kastner;1936;1964;1999;SD;Base Control Doctrine;High;M21089;x
21156;Chief of Navy;Francois Deak;1936;1964;1999;SC;Power Projection Doctrine;High;M21076;x
21157;Chief of Navy;Kálmán Hardy;1936;1964;1999;ST;Decisive Naval Battle Doctrine;Medium;M21039;x
21158;Chief of Air Force;Sandor Maguarosy;1936;1964;1999;NS;Army Aviation Doctrine;Medium;M21030;x
21159;Chief of Air Force;Ferenc Szálasi;1936;1964;1999;NS;Naval Aviation Doctrine;Medium;M21021;x
21161;Chief of Air Force;Ferenc Feketehalmy-Czeydner;1936;1964;1999;FA;Army Aviation Doctrine;Medium;M21161;x
21162;Chief of Air Force;Györghyi De Brody;1936;1964;1999;FA;Vertical Envelopment Doctrine;Medium;M21040;x
21163;Chief of Air Force;Kálmán Ternegg-Ratz;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M21163;x
21164;Chief of Air Force;Ferenc Keresztes-Fischer;1936;1964;1999;PA;Air Superiority Doctrine;High;M21100;x
21165;Chief of Air Force;Edgar Keksz;1936;1964;1999;SD;Air Superiority Doctrine;Medium;M21073;x
21166;Chief of Air Force;Béla Rákosi;1936;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M21020;x
21167;Chief of Air Force;Györghyi De Brody;1936;1964;1999;ST;Air Superiority Doctrine;Medium;M21040;x
21168;Head of State;Miklós Horthy de Nagybánya;1936;1964;1999;SC;Resigned Generalissimo;High;M21001;x
21169;Foreign Minister;Ferenc Szálasi;1936;1964;1999;NS;Iron Fisted Brute;Medium;M21021;x
21170;Head of Military Intelligence;Sandor Csia;1936;1964;1999;NS;Industrial Specialist;Medium;M21151;x
21171;Chief of Army;Ferenc Feketehalmy-Czeydner;1936;1964;1999;NS;Elastic Defence Doctrine;Medium;M21161;x
21172;Head of State;Géza Lakatos;1936;1964;1999;PA;Resigned Generalissimo;High;M21058;x
21174;Chief of Staff;Gabor Sziszkalatay;1936;1964;1999;ST;School of Psychology;Medium;M21136;x
21175;Head of Government;Ferenc Keresztes-Fischer;1936;1964;1999;FA;Happy Amateur;High;M21100;x
21176;Foreign Minister;Pál Teleki de Szek;1936;1964;1999;FA;Great Compromiser;High;M21055;x
21177;Foreign Minister;Ferenc Keresztes-Fischer;1936;1964;1999;FA;Apologetic Clerk;High;M21100;x
21178;Foreign Minister;M. Kállay de Nagy-Kalló;1936;1964;1999;FA;General Staffer;High;M21057;x
21179;Foreign Minister;Jenö Ghyczy;1936;1964;1999;FA;Apologetic Clerk;High;M21179;x
21180;Head of State;István Bethlen;1936;1964;1999;SC;Benevolent Gentleman;High;kaiserreich Bethlen;x
21181;Head of Government;Pál Teleki;1936;1964;1999;SC;Silent Workhorse;High;kaiserreich Teleki;x
21182;Head of Government;János Esterházy;1936;1964;1999;SC;Naive Optimist;High;janos_esterhazy;x
21183;Foreign Minister;Móric Esterházy;1936;1964;1999;ML;Great Compromiser;High;esterhazy_moric;x
21184;Minister of Security;Miklós Bánffy;1936;1964;1999;PA;Compassionate Gentleman;Medium;banffy_miklos;x
21185;Head of State;István Bethlen;1936;1964;1999;PA;Benevolent Gentleman;High;kaiserreich Bethlen;x
21186;Head of Government;Pál Teleki;1936;1964;1999;PA;Silent Workhorse;High;kaiserreich Teleki;x
21187;Chief of Staff;Antal Lehár;1936;1964;1999;SC;School of Fire Support;High;lehar_antal;x
21188;Head of State;Miklós Horthy de Nagybánya Jr.;1947;1964;1999;ML;Barking Buffoon;Very High;QM105140;x
21189;Head of State;István Horthy de Nagybánya;1947;1964;1999;PA;Barking Buffoon;Very High;QM105141;x
21190;Head of State;Gyula I Cseszneky;1936;1964;1999;FA;reformist soldierHoS;High;HUN_gyula;x
21191;Head of State;Lajos III Szász Coburg Gotha Koháry;1936;1964;1999;PA;german aristocrat;High;HUN_lajos;x
21192;Head of State;Pál I Esterházy;1936;1964;1999;PA;Pig-headed Isolationist;High;HUN_pal;x
21193;Head of State;György I Festetics;1936;1964;1999;PA;Popular Figurehead;High;HUN_gyorgy;x
21194;Head of State;Gyula I Cseszneky;1936;1964;1999;SC;reformist soldierHoS;High;HUN_gyula;x
21195;Head of State;Lajos III Szász Coburg Gotha Koháry;1936;1964;1999;SC;german aristocrat;High;HUN_lajos;x
21196;Head of State;Pál I Esterházy;1936;1964;1999;SC;Pig-headed Isolationist;High;HUN_pal;x
21197;Head of State;György I Festetics;1936;1964;1999;SC;Popular Figurehead;High;HUN_gyorgy;x
21198;Head of Government;Károly Rassay;1936;1964;1999;SL;Flamboyant Tough Guy;Medium;rassay_karoly;x
21199;Head of State;János Esterházy;1936;1964;1999;SC;Resigned Generalissimo;Medium;janos_esterhazy;x
21200;Head of Government;Zsigmond Kunfi;1936;1964;1999;SD;Flamboyant Tough Guy;Medium;kunfi_zsigmond;x
21201;Head of State;Karoly Barthá von Dálnokfalva;1936;1964;1999;SC;Resigned Generalissimo;Medium;M21060;x
21202;Head of State;Miklós Bánffy;1936;1964;1999;SC;Resigned Generalissimo;Medium;banffy_miklos;x
21203;Head of Government;Endre Bajcsy-Zsilinszky;1936;1964;1999;SC;Flamboyant Tough Guy;Medium;M21074;x
21204;Head of Government;Ferenc Szálasi;1936;1964;1999;NS;Backroom Backstabber;High;M21021;x
