EGY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
512027;Head of Government;Aly Chamsy Pasha;1940;1964;1999;SD;Corporate Suit;High;M512027;x
512028;Foreign Minister;Wasef Boutros Ghali;1936;1964;1999;SC;The Cloak N Dagger Schemer;High;M512023;x
512029;Foreign Minister;Abdelfattah Yahya Pasha;1937;1964;1999;SC;Apologetic Clerk;High;M512029;x
512030;Foreign Minister;Hassan Sabry Pasha;1939;1964;1999;SC;General Staffer;High;M512007;x
512031;Foreign Minister;Salib Sami Bey;1940;1964;1999;SC;Iron Fisted Brute;High;M512031;x
512032;Foreign Minister;Muhammad Mahmoud Pasha;1945;1964;1999;SC;Biased Intellectual;High;M512017;x
512033;Foreign Minister;Ibrahim Abdel Hadi;1946;1964;1999;SC;The Cloak N Dagger Schemer;High;M512033;x
512034;Foreign Minister;Ahmed Khashaba Pasha;1947;1964;1999;SC;Apologetic Clerk;High;M512034;x
512035;Foreign Minister;Abdullah Nahawi;1936;1964;1999;ML;Biased Intellectual;High;M512035;x
512036;Foreign Minister;Hassan Sirry Pasha;1940;1964;1999;ML;Great Compromiser;High;M512019;x
512037;Foreign Minister;Mahmoud an Nukraishi Pasha;1944;1964;1999;ML;Apologetic Clerk;High;M512016;x
512038;Foreign Minister;Abdelhamid Badawi Pasha;1946;1964;1999;ML;The Cloak N Dagger Schemer;High;M512038;x
512039;Foreign Minister;Ahmed Lofti al Sayed;1946;1964;1999;ML;Biased Intellectual;High;M512039;x
512040;Foreign Minister;Elie Nessim Mosseri;1936;1964;1999;SL;Great Compromiser;High;M512040;x
512041;Foreign Minister;Ali Mahir Pasha;1942;1964;1999;SL;The Cloak N Dagger Schemer;High;M512002;x
512042;Foreign Minister;Aly Chamsy Pasha;1936;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M512042;x
512043;Foreign Minister;Wasef Boutros Ghali;1940;1964;1999;SD;Great Compromiser;High;M512023;x
512044;Foreign Minister;Mustafa an-Nahhas Pasha;1942;1964;1999;SD;General Staffer;High;M512005;x
512045;Minister of Armament;M.M. Faruq I;1936;1964;1999;SC;Corrupt Kleptocrat;High;M512045;x
512046;Minister of Armament;Aly Tahal;1941;1964;1999;SC;laissez-faire capitalist;High;M512046;x
512047;Minister of Armament;Muhammad Mahmoud Pasha;1936;1964;1999;PA;industrialiser;High;M512017;x
512048;Minister of Armament;Abdelhamid Soliman;1945;1964;1999;SC;Air Superiority Proponent;Medium;M512048;x
512049;Minister of Armament;Wahid Ghaylam Pasha;1936;1964;1999;ML;laissez-faire capitalist;Medium;M512049;x
512050;Minister of Armament;Taalat Harb;1938;1964;1999;ML;Administrative Genius;Medium;M512050;x
512051;Minister of Armament;Talal al-Quros;1941;1964;1999;ML;Air to Ground Proponent;High;M512051;x
512052;Minister of Armament;Salib Sami Bey;1945;1964;1999;ML;Tank Proponent;High;M512031;x
512053;Minister of Armament;Mohammed Salah al Din;1936;1964;1999;SL;Air to Sea Proponent;High;M512053;x
512054;Minister of Armament;Ali Hassouna Pasha;1941;1964;1999;SL;Infantry Proponent;High;M512054;x
512055;Minister of Armament;Aly Amir Pasha;1945;1964;1999;SL;Administrative Genius;High;M512055;x
512056;Minister of Armament;Mohammed Fahmy al-Kaiss;1936;1964;1999;SD;Strategic Air Proponent;High;M512056;x
512057;Minister of Armament;Abd el-Azim;1942;1964;1999;SD;Infantry Proponent;High;M512057;x
512058;Minister of Armament;Aga I Khan;1944;1964;1999;SD;Resource Industrialist;High;M512058;x
512059;Minister of Security;Amil al-Husseini;1938;1964;1999;SC;Efficient Sociopath;High;M512059;x
512060;Minister of Security;Muhammad Mahmoud Pasha;1940;1964;1999;SC;Compassionate Gentleman;High;M512017;x
512061;Minister of Security;M.M. Nawal Zaki;1943;1964;1999;SC;Man of the People;High;M512061;x
512062;Minister of Security;Kamel Nabih Pasha;1936;1964;1999;ML;Man of the People;Medium;M512062;x
512063;Minister of Security;Sir Ralph Stevenson;1942;1964;1999;ML;Prince of Terror;Medium;M512063;x
512064;Minister of Security;Romarcos Hanna Pasha;1944;1964;1999;ML;Crime Fighter;Medium;M512064;x
512065;Minister of Security;Salib Samir Pasha;1936;1964;1999;SL;Back Stabber;Medium;M512065;x
512066;Minister of Security;Mohammed Najib Pasha;1942;1964;1999;SL;Compassionate Gentleman;Medium;M512066;x
512067;Minister of Security;Mohammed Hilmi Issa;1945;1964;1999;SL;Man of the People;Medium;M512006;x
512068;Minister of Security;Gaafaar Waly Pasha;1936;1964;1999;SD;Back Stabber;Medium;M512068;x
512069;Minister of Security;Makran Ebeid Pasha;1940;1964;1999;SD;Man of the People;Medium;M512069;x
512070;Minister of Security;Ali Hilali Pasha;1946;1964;1999;SD;Crime Fighter;Medium;M512070;x
512071;Head of Military Intelligence;Mohammed al Fransawi;1936;1964;1999;SC;Technical Specialist;Medium;M512004;x
512072;Head of Military Intelligence;Pierre Lacau;1936;1964;1999;SC;Industrial Specialist;Medium;M512072;x
512073;Head of Military Intelligence;Solima Sami;1936;1964;1999;ML;Naval Intelligence Specialist;Medium;M512073;x
512075;Head of Military Intelligence;Aly Chamsy Pasha;1936;1964;1999;SL;Industrial Specialist;Medium;M512027;x
512076;Head of Military Intelligence;George Cresswell;1942;1964;1999;SL;Dismal Enigma;Medium;M512076;x
512077;Head of Military Intelligence;Aga I Khan;1936;1964;1999;SD;Industrial Specialist;Medium;M512077;x
512078;Head of Military Intelligence;Wahid Raafat;1944;1964;1999;SD;Technical Specialist;Medium;M512078;x
512079;Chief of Staff;Abdelhamid Soliman;1938;1964;1999;SC;School of Psychology;Medium;M512048;x
512081;Chief of Staff;Hassan Sirry Pasha;1936;1964;1999;ML;School of Defence;High;M512019;x
512082;Chief of Staff;Abil Nashran;1941;1964;1999;ML;School of Manoeuvre;Medium;M512080;x
512083;Chief of Staff;Mohammed Aflatan;1936;1964;1999;SL;School of Mass Combat;Medium;M512083;x
512085;Chief of Staff;Abdallah Ziwar Pasha;1936;1964;1999;SD;School of Manoeuvre;High;M512009;x
512088;Chief of Army;Mohammed Naguib;1943;1964;1999;SC;Decisive Battle Doctrine;High;M512088;x
512089;Chief of Army;Hassan Sirry Pasha;1936;1964;1999;ML;Elastic Defence Doctrine;High;M512019;x
512091;Chief of Army;Mustafa Kamel;1936;1964;1999;SL;Decisive Battle Doctrine;High;M512087;x
512093;Chief of Army;Wasef Boutros Ghali;1936;1964;1999;SD;Guns and Butter Doctrine;High;M512023;x
512096;Chief of Navy;Mohammed Azmy Pasha;1943;1964;1999;SC;Base Control Doctrine;Medium;M512096;x
512097;Chief of Navy;Talal al-Quros;1936;1964;1999;ML;Indirect Approach Doctrine;High;M512051;x
512099;Chief of Navy;Pierre Lacau;1936;1964;1999;SL;Power Projection Doctrine;Medium;M512072;x
512100;Chief of Navy;Aly Hamid Pasha;1942;1964;1999;SL;Base Control Doctrine;Medium;M512072;x
512102;Chief of Navy;Wahid Raafat;1944;1964;1999;SD;Power Projection Doctrine;Medium;M512078;x
512103;Chief of Air Force;Abdelhamid Soliman;1936;1964;1999;SC;Air Superiority Doctrine;Medium;M512048;x
512104;Chief of Air Force;Mohammed Azmy Pasha;1943;1964;1999;SC;Army Aviation Doctrine;Medium;M512096;x
512105;Chief of Air Force;Mohammed Nasheed;1936;1964;1999;ML;Army Aviation Doctrine;Medium;M512105;x
512107;Chief of Air Force;Ali Mahir Pasha;1936;1964;1999;SL;Naval Aviation Doctrine;High;M512002;x
512108;Chief of Air Force;Aly Chamsy Pasha;1941;1964;1999;SL;Carpet Bombing Doctrine;Medium;M512027;x
512109;Chief of Air Force;Aga I Khan;1936;1964;1999;SD;Army Aviation Doctrine;Medium;M512077;x
512110;Chief of Air Force;Solima Sami;1942;1964;1999;SD;Naval Aviation Doctrine;Medium;M512073;x
512111;Head of State;Mohammed Naguib;1952;1964;1999;SD;Resigned Generalissimo;High;M512088;x
512112;Head of Government;Ibrahim Abdel Hadi;1949;1964;1999;SC;Political Protege;High;M512033;x
512113;Head of Government;Mohammed Naguib;1952;1964;1999;SD;Old General;High;M512088;x
512114;Minister of Armament;Noureddin Arraf;1952;1964;1999;SD;Theoretical Scientist;High;M512114;x
512115;Minister of Security;Kamaleddin Hussein;1952;1964;1999;SD;Prince of Terror;Medium;M512115;x
512116;Chief of Staff;Mohammed Naguib;1952;1964;1999;SD;School of Mass Combat;High;M512088;x
512117;Chief of Army;Gamal Abdel Nasser;1952;1964;1999;SD;Armoured Spearhead Doctrine;High;L512001;x
512118;Chief of Air Force;Gamal Abdel Nasser;1952;1964;1999;SD;Carpet Bombing Doctrine;Medium;L512001;x
512119;Head of State;M.M. Abbas II;1936;1964;1999;PA;Autocratic Charmer;High;Kaiserreich AbbasII;x
512120;Head of State;Muhammad Mahmoud Pasha;1936;1964;1999;ML;Insignificant Layman;High;M512017;x
512121;Head of State;Abdelhamid Badawi Pasha;1936;1964;1999;SL;Die-hard Reformer;High;M512022;x
512122;Head of State;Abdallah Ziwar Pasha;1936;1964;1999;SD;Resigned Generalissimo;High;M512009;x
512123;Head of State;Ali Mahir Pasha;1936;1964;1999;SC;Benevolent Gentleman;High;M512002;x
