SYR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
528044;Minister of Armament;Shaykh Mustafa al-Maraghi;1939;1964;1999;SC;Air to Ground Proponent;Medium;M528027;x
528045;Minister of Armament;Yves Morandat;1936;1964;1999;PA;Air Superiority Proponent;Medium;M528005;x
528046;Minister of Armament;Amir Mustafa al-Shihabi;1940;1964;1999;PA;laissez-faire capitalist;High;M528059;x
528047;Minister of Security;Mustafa al-Atassi;1939;1964;1999;SL;Man of the People;Medium;M528035;x
528048;Minister of Security;Nazim al Kudsi;1943;1964;1999;SC;Silent Lawyer;Medium;M528067;x
528049;Minister of Security;Jamil Chakrura;1943;1964;1999;SL;Back Stabber;Medium;M528037;x
528050;Minister of Security;Jean Abdel Foukha;1945;1964;1999;SL;Compassionate Gentleman;Medium;M528038;x
528051;Minister of Security;Faris al-Khouri;1936;1964;1999;SC;Man of the People;Medium;M528004;x
528052;Minister of Security;Shaykh Mustafa al-Maraghi;1936;1964;1999;PA;Back Stabber;Medium;M528027;x
528053;Head of Military Intelligence;Sami Hinnawi;1944;1964;1999;SL;Logistics Specialist;Medium;M528076;x
528054;Head of Military Intelligence;Shaykh Muhammed al-Gawzi;1936;1964;1999;SC;Industrial Specialist;Medium;M528024;x
528055;Chief of Staff;Hussein al-Zaim;1945;1964;1999;SL;School of Mass Combat;Medium;M528047;x
528056;Chief of Staff;Fawzi as Silu;1949;1964;1999;SL;School of Defence;Medium;M528061;x
528057;Chief of Staff;Shaykh Muhammed al-Gawzi;1936;1964;1999;SC;School of Fire Support;Medium;M528024;x
528058;Chief of Army;Adib al-Shishakli;1945;1964;1999;SL;Guns and Butter Doctrine;Medium;M528051;x
528059;Chief of Army;Fawzi al-Quawugji;1936;1964;1999;PA;Static Defence Doctrine;Medium;M528049;x
528060;Chief of Navy;Omar Abrash;1945;1964;1999;SL;Open Seas Doctrine;Medium;M528054;x
528061;Chief of Navy;Shaykh Muhammed al-Gawzi;1936;1964;1999;PA;Base Control Doctrine;Medium;M528024;x
528062;Chief of Air Force;Christian Coudray;1936;1964;1999;SL;Naval Aviation Doctrine;Medium;M528010;x
528063;Chief of Air Force;Khaleed al Razi;1949;1964;1999;SL;Carpet Bombing Doctrine;Medium;M528077;x
528064;Chief of Air Force;Hussein al-Zaim;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M528047;x
528066;Head of Government;Muhammad Kurd Ali;1936;1964;1999;SC;Happy Amateur;High;SYR_kurdali;x
528067;Chief of Staff;Jamil al-Ulshi;1936;1964;1999;SC;School of Fire Support;High;SYR_alushi;x
