KYG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
521026;Minister of Armament;Alik Bakytuul;1936;1964;1999;SD;Tank Proponent;Medium;M521026;X
521027;Minister of Armament;Yurij Mitrpoliskiyi;1936;1964;1999;SD;Theoretical Scientist;Medium;M521027;X
521028;Minister of Armament;Viktor Glushkov;1936;1964;1999;ML;Theoretical Scientist;Medium;M521028;X
521029;Minister of Armament;Sultan Bakytbek;1936;1964;1999;PA;Air to Ground Proponent;Medium;M521029;X
521030;Minister of Armament;Adilet Rustamov;1936;1964;1999;PA;Corrupt Kleptocrat;Medium;M521030;X
521031;Minister of Security;Aleksiyi Vagov;1936;1964;1999;LE;Efficient Sociopath;Medium;M521031;X
521032;Minister of Security;Bayali Isakaiev;1936;1964;1999;LE;Crime Fighter;Medium;M521032;X
521033;Minister of Security;Boris Shapurchirnikov;1936;1964;1999;SD;Silent Lawyer;Medium;M521033;X
521034;Minister of Security;Rozhira Tshugel;1936;1964;1999;SD;Back Stabber;Medium;M521034;X
521035;Minister of Security;Jelena Shemeleva;1936;1964;1999;ML;Prince of Terror;Medium;M521035;X
521036;Minister of Security;Murat Salikhov;1936;1964;1999;PA;Back Stabber;Medium;M521036;X
521037;Minister of Security;Iban Pryadezhnikov;1936;1964;1999;PA;Prince of Terror;Medium;M521037;X
521038;Head of Military Intelligence;Mikhail Us;1936;1964;1999;LE;Industrial Specialist;Medium;M521038;X
521039;Head of Military Intelligence;Azamat Cholponbek;1936;1964;1999;SD;Logistics Specialist;Medium;M521039;X
521040;Head of Military Intelligence;Ibrahim Validov;1936;1964;1999;ML;Technical Specialist;Medium;M521040;X
521041;Head of Military Intelligence;Jyrgaluul Adilet;1936;1964;1999;ML;Logistics Specialist;Medium;M521041;X
521042;Head of Military Intelligence;Maryam Tugambajeva;1936;1964;1999;PA;Political Specialist;Medium;M521042;X
521043;Head of Military Intelligence;Aziz Mirul;1936;1964;1999;PA;Technical Specialist;Medium;M521043;X
521044;Chief of Staff;Isamil Abuzyarov;1936;1964;1999;LE;School of Manoeuvre;Medium;M521044;X
521045;Chief of Staff;Ivan Rednikov;1936;1964;1999;SD;School of Manoeuvre;Medium;M521045;X
521046;Chief of Staff;Yagur Baranov;1936;1964;1999;ML;School of Mass Combat;Medium;M521046;X
521048;Chief of Army;Malagoza Tahabayev;1936;1964;1999;LE;Static Defence Doctrine;Medium;M521048;X
521049;Chief of Army;Baktit Goryashenko;1936;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M521049;X
521050;Chief of Army;Evgennij Sokolov;1936;1964;1999;ML;Elastic Defence Doctrine;Medium;M521050;X
521051;Chief of Army;Uraz Dzshandosov;1936;1964;1999;PA;Decisive Battle Doctrine;Medium;M521051;X
521052;Chief of Navy;Asmaly Toluboyev;1936;1964;1999;LE;Base Control Doctrine;Medium;M521052;X
521053;Chief of Navy;Gilnara Popov;1936;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M521053;X
521054;Chief of Navy;Kuban Bakuulbek;1936;1964;1999;ML;Merchant Navy Focus;Medium;M521054;X
521055;Chief of Navy;Daniil Dratsenko;1936;1964;1999;PA;Coastal Defence Doctrine;Medium;L500120;X
521056;Chief of Air Force;Mikhail Us;1936;1964;1999;LE;Naval Aviation Doctrine;Medium;M521038;X
521058;Chief of Air Force;Pavel Shamaev;1936;1964;1999;ML;Army Aviation Doctrine;Medium;M521058;X
521059;Chief of Air Force;Ismael Petrikov;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M525043;X
521060;Head of State;Polvoniz Yusopov;1936;1964;1999;PA;Weary Stiffneck;High;M526012;X
521061;Head of Government;Abdurahim Martemyanov;1936;1964;1999;PA;Silent Workhorse;High;M526014;X
521062;Foreign Minister;Alisher Ivanov;1936;1964;1999;PA;Great Compromiser;High;M526019;X
521063;Minister of Armament;Babur Ipatiev;1936;1964;1999;PA;Air Superiority Proponent;Medium;M526024;X
521064;Minister of Armament;Bahauddin Gorchakov;1936;1964;1999;PA;Military Entrepreneur;Medium;M526025;X
521065;Minister of Security;Mammaduli Dinnei;1936;1964;1999;PA;Silent Lawyer;Medium;M526030;X
521066;Head of Military Intelligence;Hamza Dobrynin;1936;1964;1999;PA;Logistics Specialist;Medium;M526035;X
521067;Chief of Staff;Babur Ipatiev;1936;1964;1999;PA;School of Manoeuvre;Medium;M526038;X
521069;Chief of Navy;Salim Ibadinov;1936;1964;1999;PA;Riverine Warfare Doctrine;Medium;M526042;X
521070;Chief of Air Force;Babur Ipatiev;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M526038;X
521071;Head of State;Mohammed Alim Khan;1936;1964;1999;FA;Popular Figurehead;Very High;kaiserreich alimkhan;X
521072;Head of Government;Ibrahim Bek;1936;1964;1999;FA;Old General;Very High;Kaiserreich_ibragimbekm;X
521073;Chief of Staff;Ibrahim Bek;1936;1964;1999;FA;School of Psychology;Very High;Kaiserreich_ibragimbekm;X
521074;Head of State;Shahmurad Alim Khan;1940;1964;1999;FA;Powerhungry Demagogue;Very High;KYG_shahmurad_alim_khan;X
521075;Chief of Staff;Shahmurad Alim Khan;1940;1970;1999;FA;School of Manoeuvre;Very High;KYG_shahmurad_alim_khan;X
521076;Chief of Army;Shahmurad Alim Khan;1940;1970;1999;FA;Armoured Spearhead Doctrine;Very High;KYG_shahmurad_alim_khan;X
521077;Head of State;Ibrahim Bek;1936;1964;1999;FA;Ruthless Powermonger;Very High;Kaiserreich_ibragimbekm;X
521078;Head of State;Ishan Babakhan;1936;1964;1999;NS;Stern Imperialist;Very High;KYG_ishan_babakhan;X
521079;Head of Government;Ishan Babakhan;1936;1964;1999;NS;Naive Optimist;Very High;KYG_ishan_babakhan;X
521080;Minister of Security;Ishan Babakhan;1936;1964;1999;NS;Prince of Terror;Very High;KYG_ishan_babakhan;X
521081;Minister of Armament;Abdurrauf Fitrat;1936;1964;1999;SD;Military Entrepreneur;Very High;kai_abudfitrat;X
521082;Head of State;Abdurrauf Fitrat;1936;1964;1999;SD;Pig-headed Isolationist;Very High;kai_abudfitrat;X
521083;Chief of Army;Isfandiyar Jurgi Bahadur Khan;1936;1950;1999;PA;Static Defence Doctrine;Very High;kai_isfbhd;X
521084;Minister of Security;Kush-Beggi;1936;1970;1999;FA;Man of the People;Very High;KYG_Beggi;X
521085;Minister of Armament;Vsevolod Romanovskiy;1936;1955;1999;PA;Theoretical Scientist;Very High;MVsevolod_Ivanovich_Romanovsky;X
521086;Minister of Security;Moisey Slonim;1936;1945;1999;PA;Health and Safety;Very High;MMoses_Ilyich_Slonim;X
521087;Minister of Security;Lev Oshanin;1936;1962;1999;ML;Health and Safety;Very High;MLev_Vasilievich_Oshanin;X
521088;Chief of Air Force;Viktor Kanarov;1940;1966;1999;SC;Naval Aviation Doctrine;Very High;LViktor_Pavlovich_Kanarev;X
521089;Minister of Armament;Viktor Kanarov;1940;1966;1999;SC;Air to Sea Proponent;Very High;LViktor_Pavlovich_Kanarev;X
521090;Chief of Air Force;Abdusamat Taymetov;1936;1970;1999;PA;Aviation Organizer;Very High;LAbdusamat_Taymetov;X
521091;Chief of Staff;Shermuhammadbek;1936;1970;1999;FA;School of Mass Combat;Very High;LShir_Muhammad-bek;X
521092;Chief of Army;Shermuhammadbek;1936;1970;1999;FA;Elastic Defence Doctrine;Very High;LShir_Muhammad-bek;X
521093;Head of Military Intelligence;Shermuhammadbek;1936;1970;1999;FA;Dismal Enigma;Very High;LShir_Muhammad-bek;X
521094;Chief of Army;Yakov Melkumov;1936;1962;1999;SC;Old Cavalry General;Very High;LYakov_Arkadievich_Melkumov;X
521095;Minister of Armament;Yakov Melkumov;1936;1962;1999;SC;Infantry Proponent;Very High;LYakov_Arkadievich_Melkumov;X
521096;Chief of Staff;Azamat-Bek Khudoyar-Khan;1936;1956;1999;PA;School of Fire Support;Very High;LAzamat-Bek_Aleinovich_Khudoyar-Khan;X
521097;Chief of Army;Azamat-Bek Khudoyar-Khan;1936;1956;1999;PA;Decisive Battle Doctrine;Very High;LAzamat-Bek_Aleinovich_Khudoyar-Khan;X
521098;Chief of Army;Haydar Hamidov;1945;1970;1999;SC;Old Cavalry General;Very High;LKhaidar_Kurbanovich_Khamidov;X
521099;Chief of Staff;Sobir Rahimov;1943;1970;1999;PA;School of Manoeuvre;Very High;LSabir_Umarovich_Rakhimov;X
521100;Chief of Army;Sobir Rahimov;1943;1970;1999;PA;Decisive Battle Doctrine;Very High;LSabir_Umarovich_Rakhimov;X
521150;Minister of Armament;Kusein Kölbaev;1939;1970;1999;SL;Construction Magnate;Very High;MKusain_Kolbaev;X
521151;Head of Military Intelligence;Kusein Kölbaev;1939;1970;1999;SL;Industrial Specialist;Very High;MKusain_Kolbaev;X
521152;Head of State;Turar Ryskulov;1936;1964;1999;LWR;Die-hard Reformer;Very High;MTurar_Ryskululy_Ryskulov;X
521153;Head of Government;Turar Ryskulov;1936;1964;1999;LWR;Silent Workhorse;Very High;MTurar_Ryskululy_Ryskulov;X
521154;Foreign Minister;Turar Ryskulov;1936;1964;1999;LWR;Ideological Crusader;Very High;MTurar_Ryskululy_Ryskulov;X
521155;Minister of Armament;Turar Ryskulov;1936;1964;1999;LWR;Industrialiser;Very High;MTurar_Ryskululy_Ryskulov;X
521156;Minister of Security;Turar Ryskulov;1936;1964;1999;LWR;Health and Safety;Very High;MTurar_Ryskululy_Ryskulov;X
521157;Minister of Armament;Kanysh Satpayev;1936;1964;1999;LE;Resource Industrialist;Very High;MKanysh_Satpayev;X
521158;Chief of Air Force;Talgat Begeldinov;1942;1970;1999;SC;Army Aviation Doctrine;Very High;M520008;X
521159;Chief of Navy;Georgiy Rybin;1936;1970;1999;PA;Hydrographic Service Proponent;Very High;LGeorgy_Nikolaevich_Rybin;X
521160;Head of Military Intelligence;Georgiy Rybin;1936;1970;1999;PA;Naval Intelligence Specialist;Very High;LGeorgy_Nikolaevich_Rybin;X
521161;Chief of Staff;Bauyrzhan Momyshuly;1948;1970;1999;SC;School of Fire Support;High;LBauyrzhan_Momyshuly;X
521162;Chief of Army;Bauyrzhan Momyshuly;1948;1970;1999;SC;Doctrine of Autonomy;High;LBauyrzhan_Momyshuly;X
521163;Head of Military Intelligence;Bauyrzhan Momyshuly;1948;1970;1999;SC;Logistics Specialist;High;LBauyrzhan_Momyshuly;X
521164;Chief of Staff;Shakir Zheksenbayev;1943;1970;1999;PA;School of Defence;High;LShakir_Dzheksenbaev;X
521165;Chief of Army;Shakir Zheksenbayev;1943;1970;1999;PA;Combat Engineering Doctrine;High;LShakir_Dzheksenbaev;X
521166;Chief of Staff;Arkady Borisov;1937;1970;1999;LWR;Deep Battle Proponent;High;LArkady_Borisovich_Borisov;X
521167;Chief of Army;Arkady Borisov;1937;1970;1999;LWR;Old Cavalry General;High;LArkady_Borisovich_Borisov;X
