POL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
13033;Head of Government;Tadeusz Bielecki;1936;1964;1999;NS;Backroom Backstabber;High;M13051;X
13034;Head of Government;Leopold Skulski;1936;1964;1999;PA;Happy Amateur;Medium;kaiserreich lskulski;X
13035;Head of Government;Janusz Radziwill;1936;1964;1999;PA;Political Protege;Very High;M13104;X
13037;Head of Government;Maciej Rataj;1938;1964;1999;SL;Naive Optimist;Medium;rataj;X
13039;Head of Government;Stanislaw Wojciechowski;1936;1964;1999;SD;Silent Workhorse;High;kaiserreich swojciechowski;X
13040;Head of Government;Stanislaw Osiecki;1936;1964;1999;SL;Naive Optimist;High;M13055;X
13041;Head of Government;Jan Stanislaw Jankowski;1936;1964;1999;SC;Silent Workhorse;High;kaiserreich jsjankowski;X
13042;Head of Government;Wladyslaw Studnicki;1936;1964;1999;PA;Backroom Backstabber;High;kaiserreich wstudnicki;X
13043;Head of Government;Wladyslaw Sikorski;1936;1964;1999;PA;Old General;High;M13043;X
13044;Head of Government;Stanislaw Cat-Mackiewicz;1936;1964;1999;PA;Flamboyant Tough Guy;High;kaiserreich smackiewicz;X
13122;Head of Government;Edward Osobka-Morawski;1936;1964;1999;ST;Political Protege;High;M13022;X
13124;Head of Government;Stanislaw Lancucki;1936;1964;1999;LWR;Silent Workhorse;High;kaiserreich slancucki;X
13013;Head of Government;Archbishop A. Kakowski;1936;1964;1999;FA;Flamboyant Tough Guy;Very High;kaiserreich akakowski;X
13017;Head of Government;Archbishop A. Hlond;1938;1964;1999;FA;Corporate Suit;Very High;kaiserreich ahlond;X
13027;Head of Government;Mikolaj Kwasniewski;1936;1964;1999;ML;Silent Workhorse;Very High;kaiserreich mkwasniewski;X
13155;Head of Government;Julian Ignacy Nowak;1938;1964;1999;SC;Silent Workhorse;Medium;Kaiserreich julian nowak;X
13156;Head of Government;Wincenty Witos;1936;1964;1999;SL;Ambitious Union Boss;Medium;Witos;X
13166;Head of Government;Stanislaw Mikolajczyk;1940;1964;1999;SL;Ambitious Union Boss;Medium;M13046;X
13167;Head of Government;Marian Januszajtis-¯egota;1936;1964;1999;NS;Old General;Medium;kaiserreich mjanuszajtiszegota;X
13024;Head of Government;Hieronim Tarnowski;1938;1964;1999;PA;Happy Amateur;Medium;kaiserreich htarnowski;X
13045;Foreign Minister;Roza Luksemburg;1936;1964;1999;ST;Ideological Crusader;Low;kaiserreich rluksemburg;X
13046;Foreign Minister;Henryk Walecki;1936;1964;1999;ST;Biased Intellectual;High;kaiserreich hwalecki;X
13047;Foreign Minister;Jedrzej Giertych;1936;1964;1999;NS;Ideological Crusader;Medium;M13067;X
13048;Foreign Minister;Wladyslaw Kiernik;1938;1964;1999;SL;Apologetic Clerk;Medium;kaiserreich kiernik;X
13049;Foreign Minister;Boleslaw Wieniawa-Dlugoszewski;1936;1964;1999;PA;General Staffer;High;M13035;X
13050;Foreign Minister;Wincenty Rzymowski;1936;1964;1999;ML;Apologetic Clerk;High;M13063;X
13051;Foreign Minister;Edward Raczynski;1938;1964;1999;SC;Great Compromiser;Medium;M13059;X
13052;Foreign Minister;Adam Prochnik;1938;1964;1999;SD;Iron Fisted Brute;Low;M13070;X
13053;Foreign Minister;Norbert Barlicki;1936;1964;1999;SD;The Cloak N Dagger Schemer;High;M13021;X
13054;Foreign Minister;Gabriel Narutowicz;1936;1964;1999;SL;Biased Intellectual;High;kaiserreich gnarutowicz;X
13055;Foreign Minister;Leopold Skulski;1936;1964;1999;PA;Iron Fisted Brute;Low;kaiserreich lskulski;X
13056;Foreign Minister;Eustachy Sapieha;1936;1964;1999;PA;Biased Intellectual;Low;kaiserreich esapieha;X
13057;Foreign Minister;Stanislaw Patek;1936;1964;1999;SD;Great Compromiser;Medium;kaiserreich spatek;X
13177;Foreign Minister;Adam Ciolkosz;1941;1964;1999;SD;Apologetic Clerk;Medium;kaiserreich aciolkosz;X
13058;Foreign Minister;Konstanty Skirmunt;1936;1964;1999;SC;Great Compromiser;Medium;kaiserreich kskirmunt;X
13099;Foreign Minister;Wojciech Korfanty;1936;1964;1999;NS;Biased Intellectual;High;M13042;X
13114;Foreign Minister;Zygmunt Berezowski;1936;1964;1999;NS;Iron Fisted Brute;Medium;kaiserreich zberezowski;X
13121;Foreign Minister;Jozef Targowski;1936;1964;1999;PA;Apologetic Clerk;Medium;kaiserreich jtargowski;X
13123;Foreign Minister;Pawel Finder;1936;1964;1999;ST;The Cloak N Dagger Schemer;Low;M13023;X
13127;Foreign Minister;August Zaleski;1936;1964;1999;SC;Ideological Crusader;High;M13012;X
13128;Foreign Minister;Julian Lenski-Leszczynski;1936;1964;1999;ST;Great Compromiser;Low;kaiserreich jlenskileszczynski;X
13138;Foreign Minister;Eliezer Herszauge;1936;1964;1999;LWR;Ideological Crusader;Low;kaiserreich eherszuage;X
13147;Foreign Minister;Archbishop A. Sapieha;1936;1964;1999;FA;Ideological Crusader;Very High;kaiserreich asapieha;X
13148;Foreign Minister;Alfred Wysocki;1936;1964;1999;PA;Biased Intellectual;Medium;kaiserreich awysocki;X
13164;Foreign Minister;Fryderyk Zoll;1938;1964;1999;SC;Biased Intellectual;Medium;kaiserreich fzoll;X
13157;Foreign Minister;Jerzy Potocki;1938;1964;1999;PA;Biased Intellectual;Medium;kaiserreich jpotocki;X
13036;Foreign Minister;Aleksander Lednicki;1936;1964;1999;ML;Great Compromiser;Low;kaiserreich alednicki;X
13059;Minister of Armament;Hilary Minc;1936;1964;1999;ST;Resource Industrialist;Medium;M13079;X
13060;Minister of Armament;Wanda Wasilewska;1936;1964;1999;LE;Military Entrepreneur;Medium;M13038;X
13061;Minister of Armament;Stanislaw Grabski;1936;1964;1999;NS;Laissez-Faire Capitalist;Medium;kaiserreich sgrabski;X
13062;Minister of Armament;Waclaw Paszkowski;1936;1964;1999;PA;Military Entrepreneur;High;kaiserreich WaclawPaszkowski;X
13263;Minister of Armament;Marian Zyndram-Koscialkowski;1936;1964;1999;SL;Infantry Proponent;Medium;M13002;X
13064;Minister of Armament;Jan Piekalkiewicz;1936;1964;1999;SL;Administrative Genius;Very High;M13065;X
13065;Minister of Armament;Henryk Leon Strasburger;1936;1964;1999;PA;Laissez-Faire Capitalist;Medium;M13066;X
13066;Minister of Armament;Bronislaw Ziemiecki;1936;1964;1999;SD;Resource Industrialist;Medium;kaiserreich bziemiecki;X
13068;Minister of Armament;Tomasz Arciszewski;1936;1964;1999;SD;Military Entrepreneur;High;M13047;X
13069;Minister of Armament;Herman Liebermann;1938;1964;1999;SD;Infantry Proponent;High;M13027;X
13175;Minister of Armament;Aleksander Prystor;1936;1964;1999;SD;Infantry Proponent;High;kaiserreich aprystor;X
13070;Minister of Armament;Stanislaw Szeptycki;1936;1964;1999;PA;Military Entrepreneur;High;kaiserreich sszeptycki;X
13109;Minister of Armament;Jerzy Zdziechowski;1936;1964;1999;NS;Resource Industrialist;Medium;kaiserreich jzdziechowski;X
13111;Minister of Armament;Roman Rybarski;1936;1964;1999;NS;Administrative Genius;Medium;kaiserreich rrybarski;X
13071;Minister of Armament;Eugeniusz Kwiatkowski;1938;1964;1999;PA;Administrative Genius;High;M13052;X
13012;Minister of Armament;Jan Stecki;1936;1964;1999;PA;Resource Industrialist;High;kaiserreich jstecki;X
13135;Minister of Armament;Tomasz Pilarski;1936;1964;1999;LWR;Military Entrepreneur;High;kaiserreich tpilarski;X
13151;Minister of Armament;Adam Krzyzanowski;1938;1964;1999;ML;Laissez-Faire Capitalist;High;kaiserreich akrzyzankowski;X
13158;Minister of Armament;Michal Rola-Zymierski;1938;1964;1999;LE;Tank Proponent;Medium;M13122;X
13169;Minister of Armament;Antoni Olszewski;1936;1964;1999;PA;Theoretical Scientist;Medium;kaiserreich aolszewski;X
13170;Minister of Armament;Zygmunt Berling;1936;1964;1999;ST;Infantry Proponent;Medium;M13024;X
13074;Minister of Armament;Eugeniusz Czarnowski;1936;1964;1999;ML;Laissez-Faire Capitalist;Medium;kaiserreich eczarnowski;X
13072;Minister of Security;Adolf Warski;1936;1964;1999;LE;Man of the People;High;kaiserreich awarski;X
13073;Minister of Security;Stanislaw Radkiewicz;1936;1964;1999;ST;Prince of Terror;Medium;M13025;X
13075;Minister of Security;Tadeusz Bielecki;1936;1964;1999;NS;Prince of Terror;Medium;M13051;X
13077;Minister of Security;Mieczyslaw Trajdos;1938;1964;1999;NS;Silent Lawyer;Medium;M13101;X
13078;Minister of Security;Antoni Ponikowski;1936;1964;1999;PA;Compassionate Gentleman;Very High;kaiserreich AntoniPonikowski;X
13080;Minister of Security;Maciej Rataj;1938;1964;1999;SL;Silent Lawyer;Very High;rataj;X
13081;Minister of Security;Zdzislaw Lubomirski;1936;1964;1999;PA;Compassionate Gentleman;Very High;kaiserreich zlubomirski;X
13082;Minister of Security;Stanislaw Mikolajczyk;1937;1964;1999;SL;Man of the People;Medium;M13046;X
13083;Minister of Security;Karol Popiel;1936;1964;1999;SC;Silent Lawyer;High;M13098;X
13084;Minister of Security;Wincenty Witos;1938;1964;1999;SL;Man of the People;Medium;Witos;X
13085;Minister of Security;Mieczyslaw Niedzialkowski;1936;1964;1999;SD;Crime Fighter;Medium;M13095;X
13086;Minister of Security;Stanislaw Wojciechowski;1936;1964;1999;SL;Silent Lawyer;Medium;kaiserreich swojciechowski;X
13087;Minister of Security;Zygmunt Zaremba;1936;1964;1999;SD;Prince of Terror;Medium;kaiserreich zzaremba;X
13088;Minister of Security;Marian Kukiel;1936;1964;1999;PA;Crime Fighter;Medium;kaiserreich mkukiel;X
13089;Minister of Security;Stanislaw Thugutt;1936;1964;1999;SL;Man of the People;Medium;kaiserreich sthugutt;X
13090;Minister of Security;Jan Stecki;1936;1964;1999;PA;Efficient Sociopath;High;kaiserreich jstecki;X
13067;Minister of Security;Norbert Barlicki;1936;1964;1999;SD;Efficient Sociopath;High;M13021;X
13112;Minister of Security;Zygmunt Berezowski;1936;1964;1999;NS;Efficient Sociopath;Medium;kaiserreich zberezowski;X
13113;Minister of Security;Seweryn Czetwertynski;1936;1964;1999;NS;Crooked Kleptocrat;Medium;kaiserreich sczetwertyñski;X
13129;Minister of Security;Marceli Nowotko;1936;1964;1999;ST;Prince of Terror;High;M13053;X
13133;Minister of Security;Boleslaw Bierut;1936;1964;1999;ST;Back Stabber;High;M13033;X
13139;Minister of Security;Szymon Radowicki;1936;1964;1999;LWR;Man of the People;High;kaiserreich szradowicki;X
13140;Minister of Security;Wladyslaw Gomulka;1936;1964;1999;LE;Man of the People;High;M13039;X
13016;Minister of Security;Bishop S. Adamski;1936;1964;1999;FA;Silent Lawyer;Very High;kaiserreich sadamski;X
13150;Minister of Security;Janusz Radziwill;1936;1964;1999;PA;Efficient Sociopath;Medium;M13104;X
13152;Minister of Security;Franciszek Salezy Potocki;1938;1964;1999;PA;Man of the People;Medium;kaiserreich fpotocki;X
13160;Minister of Security;Jedrzej Moraczewski;1938;1964;1999;SD;Compassionate Gentleman;Medium;kaiserreich moraczewski;X
13162;Minister of Security;Zygmunt Zulawski;1938;1964;1999;SD;Efficient Sociopath;Medium;kaiserreich zzulawski;X
13076;Minister of Security;Mieczyslaw Bilek;1936;1964;1999;ML;Crime Fighter;Medium;kaiserreich mbilek;X
13091;Head of Military Intelligence;Stanislaw Dubois;1936;1964;1999;SD;Technical Specialist;Medium;M13026;X
13092;Head of Military Intelligence;Feliks Koneczny;1936;1964;1999;NS;Technical Specialist;High;M13108;X
13093;Head of Military Intelligence;Henryk Sucharski;1938;1964;1999;SC;Dismal Enigma;High;kaiserreich Sucharski;X
13094;Head of Military Intelligence;Adam Tarnowski;1939;1964;1999;SC;Dismal Enigma;High;M13061;X
13095;Head of Military Intelligence;Jan Kowalewski;1936;1964;1999;PA;Logistics Specialist;Medium;kaiserreich jkowalewski;X
13096;Head of Military Intelligence;Kazimierz Bartel;1938;1964;1999;SL;Political Specialist;Medium;M13105;X
13097;Head of Military Intelligence;Waclaw Komar;1936;1964;1999;ST;Logistics Specialist;Medium;kaiserreich wkomar;X
13132;Head of Military Intelligence;Boleslaw Bierut;1936;1964;1999;ST;Political Specialist;High;M13033;X
13153;Head of Military Intelligence;Ottokar Brzoza-Brzezina;1938;1964;1999;FA;Logistics Specialist;Medium;kaiserreich ottokar brzoza-brzezina;X
13163;Head of Military Intelligence;Boleslaw Drobner;1938;1964;1999;LWR;Industrial Specialist;High;kaiserreich drobner;X
13176;Head of Military Intelligence;Walery Slawek;1936;1964;1999;SD;Dismal Enigma;High;kaiserreich wslawek;X
13100;Chief of Staff;Karol Swierczewski;1936;1964;1999;ST;School of Fire Support;Medium;M13028;X
13102;Chief of Staff;Tadeusz Kutrzeba;1936;1964;1999;ML;School of Manoeuvre;High;L8070;X
13103;Chief of Staff;Michal Rola-Zymierski;1938;1964;1999;LE;School of Mass Combat;Medium;M13122;X
13104;Chief of Staff;Leopold Okulicki;1940;1964;1999;SL;School of Fire Support;Medium;M13121;X
13105;Chief of Staff;Wac³aw Stachiewicz;1936;1964;1999;PA;School of Fire Support;High;M13115;X
13106;Chief of Staff;Herman Lieberman;1938;1964;1999;SD;School of Psychology;Medium;M13027;X
13107;Chief of Staff;Józef Haller von Hallenburg;1938;1964;1999;FA;School of Fire Support;Medium;hallenburg;X
13108;Chief of Staff;Tadeusz Rozwadowski;1936;1964;1999;PA;School of Mass Combat;Medium;kaiserreich trozwadowski;X
13110;Chief of Staff;Marian Januszajtis-¯egota;1936;1964;1999;NS;School of Psychology;Medium;kaiserreich mjanuszajtiszegota;X
13136;Chief of Staff;Pawel Lew Marek;1936;1964;1999;LWR;School of Psychology;Medium;kaiserreich plmarek;X
13141;Chief of Staff;Wladyslaw Bortnowski;1936;1964;1999;SC;School of Fire Support;High;L8008;X
13171;Chief of Staff;Zygmunt Berling;1936;1964;1999;ST;School of Psychology;Medium;M13024;X
13142;Chief of Staff;Antoni Szylling;1936;1964;1999;SC;School of Defence;High;L8140;X
13115;Chief of Army;Karol Swierczewski;1936;1964;1999;ST;Decisive Battle Doctrine;Medium;M13028;X
13116;Chief of Army;Zygmunt Berling;1936;1964;1999;ST;Elastic Defence Doctrine;Medium;M13024;X
13117;Chief of Army;Marian Januszajtis-¯egota;1936;1964;1999;NS;Elastic Defence Doctrine;Medium;kaiserreich mjanuszajtiszegota;X
13118;Chief of Army;Wladyslaw Anders;1936;1964;1999;ML;Decisive Battle Doctrine;Medium;M13125;X
13119;Chief of Army;Michal Rola-Zymierski;1938;1964;1999;LE;Armoured Spearhead Doctrine;Medium;M13122;X
13120;Chief of Army;Józef Haller von Hallenburg;1938;1964;1999;FA;Guns and Butter Doctrine;Very High;hallenburg;X
13143;Chief of Army;Wladyslaw Bortnowski;1936;1964;1999;SC;Static Defence Doctrine;High;L8008;X
13144;Chief of Army;Antoni Szylling;1936;1964;1999;SC;Elastic Defence Doctrine;High;L8140;X
13145;Chief of Army;Stanislaw Maczek;1936;1964;1999;SC;Armoured Spearhead Doctrine;High;L8075;X
13137;Chief of Army;Pawel Lew Marek;1936;1964;1999;LWR;Guns and Butter Doctrine;Very High;kaiserreich plmarek;X
13125;Chief of Navy;Adam Mohuczy;1936;1964;1999;LE;Base Control Doctrine;Medium;kaiserreich amohuczy;X
13126;Chief of Navy;Tadeusz Morgenstern-Podjazd;1938;1964;1999;SD;Open Seas Doctrine;Medium;kaiserreich tmorgensternpodjazd;X
13130;Chief of Air Force;Ludwik Grosfeld;1936;1955;1999;LWR;Carpet Bombing Doctrine;Very High;M13030;X
13131;Chief of Air Force;Stanislaw Pawluc;1939;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M13135;X
13165;Chief of Air Force;Wladyslaw Kalkus;1938;1946;1999;PA;Air Superiority Doctrine;Medium;M13136;X
13172;Chief of Air Force;Ludomil Rayski;1936;1964;1999;PA;Army Aviation Doctrine;Medium;M13134;X
13173;Chief of Air Force;Witold Urbanowicz;1944;1964;1999;ML;Air Superiority Doctrine;Medium;kaiserriech wurbanowicz;X
13178;Head of State;J.K.D. Mendog III;1936;1964;1999;PA;German Aristocrat;High;kaiserreich mindaugasiii;X
13179;Head of State;Regency Council;1936;1964;1999;PA;Popular Figurehead;Very High;kaiserreich regencycouncilpoland;X
13180;Head of Government;Artur Sliwinski;1936;1964;1999;SD;Silent Workhorse;High;kaiserreich asliwinski;X
13181;Head of Government;Jan Kucharzewski;1936;1964;1999;PA;Silent Workhorse;Very High;kaiserreich jkucharzewski;X
13182;Minister of Armament;Juliusz Poniatowski;1936;1964;1999;SL;Resource Industrialist;High;kaiserreich jponiatowski;X
13183;Minister of Security;Leon Supinski;1936;1964;1999;ML;Crime Fighter;High;kaiserreich lsupinski;X
13184;Head of State;Tomasz Nocznicki;1936;1964;1999;SL;Stern Imperialist;Very High;kaiserreich tnocznicki;X
13185;Head of State;The Tsar Of All Russians;1936;1964;1999;SC;Popular Figurehead;High;Mrus Tsar;X
13186;Head of State;Under Russian protectorate;1936;1964;1999;PA;Weary Stiffneck;High;rusprotectorate;X
13187;Head of State;Under Russian protectorate;1936;1964;1999;SC;Weary Stiffneck;High;rusprotectorate;X
13188;Head of Military Intelligence;Karol Trzasko-Durski;1936;1964;1999;PA;Naval Intelligence Specialist;High;kaiserreich ktrzaskodurski;X
13189;Chief of Air Force;Karol Trzasko-Durski;1936;1964;1999;PA;Naval Aviation Doctrine;High;kaiserreich ktrzaskodurski;X
13190;Chief of Navy;Karol Trzasko-Durski;1936;1964;1999;PA;Power Projection Doctrine;High;kaiserreich ktrzaskodurski;X
13191;Chief of Navy;Józef Unrug;1933;1964;1999;PA;Indirect Approach Doctrine;High;M13130;X
13192;Chief of Army;Tadeusz Bor-Komorowski;1944;1964;1999;SL;Guns and Butter Doctrine;Medium;M13119;X
13193;Chief of Army;Karol Swierczewski;1933;1964;1999;ST;Decisive Battle Doctrine;Medium;M13028;X
13194;Chief of Air Force;Stanislaw Krzymowski;1940;1964;1999;ML;Vertical Envelopment Doctrine;High;MStanislaw_Krzymowski;X
13195;Chief of Navy;Eugeniusz Plawski;1944;1964;1999;ML;Indirect Approach Doctrine;Medium;LEugeniusz_Plawski;X
13196;Chief of Navy;Stanislaw Rymszewicz;1940;1964;1999;SD;Base Control Doctrine;High;MStanislaw_Rymszewicz;X
13197;Chief of Air Force;Józef Jungrav;1940;1964;1999;SD;Army Aviation Doctrine;High;LJozef_Jungrav;X
13198;Minister of Armament;Stanislaw Rymszewicz;1940;1964;1999;SD;Battle Fleet Proponent;High;MStanislaw_Rymszewicz;X
13199;Chief of Navy;Józef Bartosik;1948;1964;1999;SC;Decisive Naval Battle Doctrine;High;LJozef_Bartosik;X
13200;Chief of Air Force;Wiktor Pniewski;1936;1964;1999;PA;Carpet Bombing Doctrine;High;LWiktor_Pniewski;X
13201;Chief of Air Force;Aleksander Majewski;1936;1964;1999;LWR;Naval Aviation Doctrine;High;LAleksander_Majewski;X
13202;Chief of Staff;Stanislaw Sosabowski;1944;1964;1999;SC;Commando Doctrine Staff;High;L8131;X
13203;Chief of Army;Stanislaw Sosabowski;1944;1964;1999;SC;Commando Doctrine Army;High;L8131;X
13204;Chief of Air Force;Waclaw Makowski;1939;1964;1999;ML;Army Aviation Doctrine;High;LWaclaw_Makowski;X
13205;Minister of Armament;Waclaw Makowski;1939;1964;1999;ML;Air to Ground Proponent;High;LWaclaw_Makowski;X
13206;Head of Military Intelligence;Waclaw Makowski;1939;1964;1999;ML;Logistics Specialist;High;LWaclaw_Makowski;X
13207;Chief of Staff;Franciszek Skibinski;1948;1964;1999;SD;School of Manoeuvre;High;LFranciszek_Skibinski2;X
13208;Chief of Army;Franciszek Skibinski;1948;1964;1999;SD;Armoured Spearhead Doctrine;High;LFranciszek_Skibinski2;X
