OTT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
549017;Foreign Minister;Osman Wilfred Kemal;1936;1951;1999;SC;Ideological Crusader;Very High;K_borisjohnsonsgranddad;X
549018;Foreign Minister;Hasan Saka;1936;1961;1999;SC;Great Compromiser;Very High;OTTSak;X
549019;Foreign Minister;Ali Fuat Pasha;1936;1968;1999;SC;General Staffer;Very High;OTTCeb;X
549020;Foreign Minister;Sultanzade Mehmed Sabâhaddin;1936;1954;1999;SC;Ideological Crusader;Very High;OTT_Sultanzade;X
549021;Foreign Minister;Haqqi al-Azm;1936;1955;1999;SC;Apologetic Clerk;High;OTT_Haqqi;X
549022;Minister of Armament;Sadri Maksudi Arsal;1936;1970;1999;FA;Planned Economy Proponent;Very High;OTT_Sadri Maksudi Arsal;X
549023;Minister of Armament;Mahmut Celal Pasha;1936;1970;1999;PA;Bank President;Very High;M12032;X
549024;Minister of Armament;Yörük Ali Efe Pasha;1936;1970;1999;PA;Keynesian Economy;High;K_EfeofallEfes;X
549025;Minister of Armament;Haci Ömer Sabanci;1936;1970;1999;PA;Resource Industrialist;Very High;OTT_Haci;X
549026;Minister of Armament;Nuri Demirag;1936;1970;1999;PA;Administrative Genius;Very High;K_Demir;X
549027;Minister of Armament;Ahmed Emin Yalman;1936;1970;1999;PA;Balanced Budget Economy;Very High;OTT_Ahmed Emin;X
549028;Minister of Armament;Mustafa Muglali;1936;1970;1999;PA;Military Entrepreneur;Very High;OTTIsh;X
549029;Minister of Armament;Türsan Bey;1936;1970;1999;PA;Tank Proponent;Very High;OTTTursan;X
549030;Minister of Armament;Mustafa Kemal Pasha;1936;1970;1999;PA;Reformer;Very High;OTT_Kemal;X
549031;Minister of Armament;Abd al-Muhsin as-Sa'dun;1936;1970;1999;SC;Oil Baron;Very High;OTT_Abd al-Muhsin as-Sa'dun;X
549032;Minister of Armament;Mehmet Fuat Köprülü;1936;1970;1999;SC;Industrialiser;Very High;OTT_Köprülü;X
549033;Minister of Armament;Berç Keresteciyan;1936;1970;1999;SC;Construction Magnate;Very High;OTT_Keresteciyan;X
549034;Minister of Armament;Hasan Fehmi Bey;1936;1970;1999;SC;Resource Industrialist;Very High;OTT_Fehmi;X
549035;Minister of Armament;Resat Muhlis Bey;1936;1970;1999;SC;Keynesian Economy;Very High;OTT_Muhlis;X
549036;Minister of Armament;Mehmed Sükrü Bey;1936;1970;1999;SC;Administrative Genius;Very High;M12034;X
549037;Minister of Armament;Mehmet Recep Peker;1936;1970;1999;SC;Laissez-Faire Capitalist;Very High;OTT_Peker;X
549038;Minister of Armament;Sakir Kesebir;1936;1970;1999;SC;Mixed Economy;Very High;OTT_Kesebir;X
549039;Minister of Armament;Sevket Rasit Hatipoglu;1936;1970;1999;SC;Planned Economy Proponent;Very High;OTT_Hatipoglu;X
549040;Minister of Security;Halil Kut Pasha;1936;1970;1999;FA;Prince of Terror;Very High;OTTKut;X
549041;Minister of Security;Ahmed bey Agayev;1936;1970;1999;FA;Silent Lawyer;Very High;K_AhmetAaolu;X
549042;Minister of Security;Sheikh Izz ad-Din al-Qassam Pasha;1936;1970;1999;FA;Man of the People;Very High;K_IzzDinQassam;X
549043;Minister of Security;Sadri Maksudi Arsal;1936;1970;1999;FA;Compassionate Gentleman;Very High;OTT_Sadri Maksudi Arsal;X
549044;Minister of Security;Nihal Atsiz;1936;1970;1999;FA;Secret Police Chief;Very High;M12011;X
549125;Foreign Minister;Mehmet Emin Yurdakul;1936;1970;1999;FA;Biased Intellectual;Very High;OTT_Mehmet Emin Yurdakul;X
549126;Minister of Armament;Fuat Agrali;1936;1957;1957;PA;Construction Magnate;Very High;OTT_Fuat Agrali;X
549127;Foreign Minister;Filibeli Hilmi Bey;1936;1970;1999;FA;Iron Fisted Brute;Very High;OTT_Filibeli Hilmi Bey;X
549128;Minister of Armament;Kara Kemal Bey;1936;1970;1999;FA;Laissez-Faire Capitalist;Very High;OTT_Kara Kemal Bey;X
549129;Minister of Security;Abdulkadir Pasha*;1936;1970;1999;FA;Secret Police Chief;Very High;OTT_Abdulkadir Pasha;X
549130;Head of Military Intelligence;Yenibahceli Nail Bey;1936;1970;1999;FA;Political Specialist;Very High;OTT_Yenibahceli Nail Bey;X
549045;Minister of Security;Bekir Sami Bey;1936;1970;1999;PA;Efficient Sociopath;Very High;OTT_Bekir;X
549046;Minister of Security;Necmettin Sadik Sadak;1936;1970;1999;PA;Media Magnate;Very High;OTT_Necmettin;X
549047;Minister of Security;Mehmet Semsettin Günaltay;1936;1970;1999;PA;Back Stabber;Very High;OTT_Semsettin;X
549048;Minister of Security;Refik Koraltan;1936;1970;1999;PA;Crime Fighter;Very High;OTT_Refik;X
549049;Minister of Security;Yusuf Kemal Tengirsenk;1936;1970;1999;PA;Silent Lawyer;Very High;OTT_Yusuf Kemal;X
549050;Minister of Security;Mustafa Ismet Pasha;1936;1970;1999;PA;Man of the People;Very High;OTT_Ismet;X
549051;Minister of Security;Naci Tinaz;1936;1970;1999;SC;Secret Police Chief;Very High;OTT_Naci;X
549052;Minister of Security;Agop Dilâçar;1936;1970;1999;SC;Compassionate Gentleman;Very High;OTT_Agop Dilâçar;X
549053;Minister of Security;Refik Saydam;1936;1970;1999;SC;Health and Safety;Very High;M12024;X
549054;Minister of Security;Mustafa Abdülhalik Renda;1936;1970;1999;FA;Prince of Terror;Very High;OTTRen;X
549055;Minister of Security;Yunus Nadi Abalioglu;1936;1970;1999;SC;Media Magnate;Very High;OTTYun;X
549056;Head of Military Intelligence;Ethem Nejat;1936;1970;1999;NS;Political Specialist;Very High;OTT_Nejat;X
549057;Head of Military Intelligence;Mehmet Emin Yurdakul;1936;1970;1999;FA;Technical Specialist;Very High;OTT_Mehmet Emin Yurdakul;X
549058;Head of Military Intelligence;Ali Said Pasha;1936;1970;1999;FA;Logistics Specialist;Very High;OTTAkt;X
549059;Head of Military Intelligence;Necati Ozdeniz;1936;1970;1999;FA;Naval Intelligence Specialist;Very High;OTTOzd;X
549060;Head of Military Intelligence;Kasim Gülek;1936;1970;1999;PA;Political Specialist;Very High;OTT_Gülek;X
549061;Head of Military Intelligence;Ali Fethi Pasha;1936;1970;1999;PA;Logistics Specialist;Very High;OTT_Fethi;X
549062;Head of Military Intelligence;Hasan Ali Yücel;1936;1970;1999;PA;Dismal Enigma;Very High;OTT_Hasan Ali Yücel;X
549063;Head of Military Intelligence;Osman Nevres Tahsin;1936;1970;1999;PA;Political Specialist;Very High;K_HasanTahsin;X
549064;Head of Military Intelligence;Mehmed Esad Pasha;1936;1970;1999;PA;Naval Intelligence Specialist;Very High;OTT_Esad;X
549065;Head of Military Intelligence;Mehmed Sükrü Âli Ögel;1936;1970;1999;SC;Logistics Specialist;Very High;OTT_Sükrü;X
549066;Head of Military Intelligence;Ali Çetinkaya Bey;1936;1970;1999;SC;Industrial Specialist;Very High;OTT_Ali Çetinkaya;X
549067;Head of Military Intelligence;Nuri Berköz;1936;1970;1999;SC;Logistics Specialist;Very High;OTT_Nuri Berköz;X
549068;Head of Military Intelligence;Cemal Gürsel Bey;1936;1970;1999;SC;Political Specialist;Very High;OTT_Cemal Gürsel;X
549069;Chief of Staff;Hayrullah Fisek Pasha;1936;1970;1999;FA;School of Manoeuvre;Very High;OTT_Hayrullah;X
549070;Chief of Staff;Ali Said Pasha;1936;1970;1999;FA;School of Fire Support;Very High;OTTAkt;X
549071;Chief of Staff;Halil Kut Pasha;1936;1970;1999;FA;School of Defence;Very High;OTTKut;X
549072;Chief of Staff;Kaci Vehip Pasha;1936;1970;1999;FA;School of Psychology;Very High;kaiserreich_vehip_pasha;X
549073;Chief of Staff;Mustafa Ismet Pasha;1936;1970;1999;PA;School of Mass Combat;Very High;OTT_Ismet;X
549074;Chief of Staff;Cafer Tayyar Egilmez;1936;1970;1999;PA;School of Fire Support;Very High;OTTEgi;X
549075;Chief of Staff;Osman Fuad Efendi;1936;1970;1999;PA;Commando Doctrine Staff;Very High;OTTFau;X
549076;Chief of Staff;Selahattin Adil Pasha;1936;1970;1999;PA;School of Manoeuvre;Very High;OTTAdi;X
549077;Chief of Staff;Cevat Cobanli Pasha;1936;1940;1940;PA;School of Defence;Very High;OTTCob;X
549078;Chief of Staff;Ömer Fahreddin Pasha;1936;1970;1999;PA;School of Defence;Very High;OTTFahreddin;X
549079;Chief of Staff;Ali Ögel Bey;1936;1970;1999;SC;School of Mass Combat;Very High;OTT_Ogel;X
549080;Chief of Staff;Friedrich Kress von Kressenstein;1936;1970;1999;SC;School of Manoeuvre;Very High;OTTKre;X
549081;Chief of Staff;Salih Omurtak Bey;1936;1970;1999;SC;School of Fire Support;Very High;OTTSal;X
549082;Chief of Army;Çerkes Ethem;1936;1970;1999;NS;Doctrine of Autonomy;Very High;OTT_Ethem;X
549083;Chief of Army;Hüseyin Hüsnü Emir Erkilet;1936;1970;1999;PA;Elastic Defence Doctrine;Very High;OTTNer;X
549084;Chief of Army;Mustafa Ertugrul Bey;1936;1970;1999;FA;Decisive Battle Doctrine;Very High;OTTErt;X
549085;Chief of Army;Nuri Pasha;1936;1970;1999;FA;Elastic Defence Doctrine;Very High;Nuri_Killigil;X
549086;Chief of Staff;Ismaeil Berkok Pasha;1936;1970;1999;PA;Commando Doctrine Staff;Very High;OTTism;X
549087;Chief of Army;Ali Fuat Pasha;1936;1970;1999;PA;Guns and Butter Doctrine;Very High;OTTCeb;X
549088;Chief of Army;Binbasi Halis Bey;1936;1970;1999;PA;Armoured Spearhead Doctrine;Very High;OTTHalis;X
549089;Chief of Army;Osman Fuad Efendi;1936;1970;1999;PA;Doctrine of Autonomy;Very High;OTTFau;X
549090;Chief of Army;Mehmet Cemil Uybadin;1936;1970;1999;SC;Armoured Spearhead Doctrine;Very High;OTTuyb;X
549091;Chief of Army;Wilhelm Harun el Raschid-Hintersatz;1936;1970;1999;SC;Commando Doctrine Army;Very High;OTTHin;X
549092;Chief of Army;Nuri Berköz;1936;1970;1999;SC;Static Defence Doctrine;Very High;OTT_Nuri Berköz;X
549093;Chief of Army;Fahri Belen;1936;1970;1999;SC;Decisive Battle Doctrine;Very High;OTTFahri;X
549094;Chief of Navy;Muzaffer Adil Bey;1936;1970;1999;FA;Base Control Doctrine;Very High;OTTMuzaf;X
549095;Chief of Navy;Korutürk Pasha;1936;1970;1999;FA;Indirect Approach Doctrine;Very High;OTTKor;X
549096;Chief of Navy;Nazmi Bey;1936;1970;1999;PA;Open Seas Doctrine;Very High;OTTNazmi;X
549097;Chief of Navy;Münir Bey;1936;1970;1999;PA;Power Projection Doctrine;Very High;OTTMun;X
549098;Chief of Navy;Necati Ozdeniz;1936;1970;1999;SC;Indirect Approach Doctrine;Very High;OTTOzd;X
549099;Chief of Navy;Abdurrahman Bey;1936;1970;1999;SC;Open Seas Doctrine;Very High;OTTRah;X
549100;Chief of Air Force;Fevzi Bey;1936;1970;1999;FA;Carpet Bombing Doctrine;Very High;OTTFev;X
549101;Chief of Air Force;Turilmen Bey;1936;1970;1999;FA;Air Superiority Doctrine;Very High;OTTTuril;X
549102;Chief of Air Force;Ismail Sefik Sevgener;1936;1970;1999;PA;Carpet Bombing Doctrine;Very High;OTTSev;X
549103;Chief of Air Force;Fazil Bey;1936;1970;1999;PA;Vertical Envelopment Doctrine;Very High;OTTFaz;X
549104;Chief of Air Force;Erich Serno;1936;1970;1999;PA;Air Superiority Doctrine;Very High;OTTSer;X
549105;Chief of Air Force;Irfan Orga Bey;1936;1970;1999;SC;Air Superiority Doctrine;Very High;OTTOrga;X
549106;Chief of Air Force;Ahmet Ali Çelikten;1936;1970;1999;SC;Naval Aviation Doctrine;Very High;OTT_Ahmet Ali Çelikten;X
549107;Head of State;Ahmed IV;1936;1970;1999;FA;Popular Figurehead;Very High;OTT_AhmedIV;X
549108;Head of State;Ahmed IV;1936;1970;1999;ML;Benevolent Gentleman;Very High;OTT_AhmedIV;X
549109;Head of State;Osman IV;1936;1970;1999;FA;Die-hard Reformer;Very High;OTTFau;X
549110;Head of State;Osman IV;1936;1970;1999;ML;Die-hard Reformer;Very High;OTTFau;X
549111;Head of Government;Nihal Atsiz;1937;1970;1999;FA;Flamboyant Tough Guy;Very High;M12011;X
549112;Head of Government;Mustafa Ismet Pasha;1938;1970;1999;PA;Old General;Very High;OTT_Ismet;X
549113;Head of Government;Sultanzade Mehmed Sabâhaddin;1937;1970;1999;SC;Naive Optimist;Very High;OTT_Sultanzade;X
549114;Foreign Minister;Lütfi Fikri Bey;1936;1970;1999;SC;Biased Intellectual;Very High;OTT_Lütfi Fikri Bey;X
549115;Minister of Armament;Refi' Cevad Ulunay;1936;1970;1999;SC;Administrative Genius;Very High;OTT_Ulunay;X
549116;Minister of Security;Feridun Fikri Düsünsel;1936;1970;1999;SC;Crime Fighter;Very High;OTT_Feridun;X
549117;Head of Military Intelligence;Riza Tevfik Bölükbasi;1936;1970;1999;SC;Dismal Enigma;Very High;OTT_Riza;X
549118;Chief of Staff;Mustafa Fevzi Pasha;1936;1970;1999;PA;School of Fire Support;Very High;OTT_Fevzi;X
